sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),target
-1.5018554972339464,0.7824502668444082,-1.3332550696276038,-1.1770549057728248,0
0.6719040513798946,-0.5972549374137793,1.0506049948665512,1.1911830966898274,2
-0.17344688419215454,-0.1373532026610498,0.2559849733684998,0.007064095458501152,1
-0.8980334003967686,1.7022537363498662,-1.049462204806871,-1.045486127858233,0
-1.260326658499075,0.09259766471531497,-1.2197379236993104,-1.3086236836874166,0
-0.4149757229270259,-1.5170584069192374,0.028950681511913406,-0.12450468245609045,1
0.6719040513798946,-0.827205804790143,0.8803292759741116,0.9280455408606435,2
0.5511396320124584,0.5524993994680435,1.2776392867231376,1.7174582083481942,2
2.241841503156557,-0.5972549374137793,1.6749492974721636,1.0596143187752354,2
1.638019406319379,-0.1373532026610498,1.1641221407948443,0.5333392071168684,2
-0.17344688419215454,3.0819589406080548,-1.276496496663457,-1.045486127858233,0
0.5511396320124584,-0.36730407003741455,1.0506049948665512,0.796476762946052,2
1.034197309482201,0.5524993994680435,1.1073635678306981,1.7174582083481942,2
0.5511396320124584,-0.5972549374137793,0.7668121300458184,0.4017704292022765,2
-0.4149757229270259,2.6220572058553255,-1.3332550696276038,-1.3086236836874166,0
0.9134328901147649,-0.36730407003741455,0.4830192652250857,0.13863287337309305,1
-0.4149757229270259,-1.2871075395428726,0.1424678274402066,0.13863287337309305,1
-0.7772689810293324,2.3921063384789596,-1.276496496663457,-1.440192461602008,0
0.30961079327758706,-0.5972549374137793,0.1424678274402066,0.13863287337309305,1
-1.139562239131639,-0.1373532026610498,-1.3332550696276038,-1.3086236836874166,0
-0.29421130355959074,-0.827205804790143,0.2559849733684998,0.13863287337309305,1
-0.8980334003967686,1.012401134220773,-1.3332550696276038,-1.1770549057728248,0
1.638019406319379,1.2423520015971379,1.3343978596872839,1.7174582083481942,2
-0.4149757229270259,-1.7470092742956023,0.1424678274402066,0.13863287337309305,1
-1.139562239131639,0.09259766471531497,-1.276496496663457,-1.3086236836874166,0
1.1549617288496363,-0.5972549374137793,0.5965364111533789,0.27020165128768464,1
0.30961079327758706,-0.5972549374137793,0.5397778381892325,0.007064095458501152,1
-0.0526824648247194,-0.827205804790143,0.7668121300458184,0.9280455408606435,2
